#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!
#
#   Initial Conditions File for the
#   Atmospheric Chemistry and Canopy Exchange Simulation System (ACCESS)
#
#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!
# based on Walker Branch Watershed data of Fuentes et al. (2007) for July 20, 1999         
# Self-documenting section for mechanism and grid consistency
racm2_plus          gasmech         CHARACTER    gas-phase mechanism
87                  npts            INTEGER      number of vertical layers
0.0                 z0              REAL         column bottom (cm)
43.0                zi              REAL         column top (cm)
#
# initial conditions - gas-phase species (if not listed, zero is assumed)
# nics - number of non-zero initialized species
5                   
# species index     ppbv(1) or molec/cm3(2)
# INTEGER           INTEGER
1                   1                       O3         
7                   1                       NO         
6                   1                       NO2        
73                  1                       CH4        
14                  1                       CO         
#
# vertical profiles as i=1,npts (z0 -> zi)
4.5413E+01 5.0626E-01 3.8626E+00 1.7000E+03 1.5000E+02
4.6698E+01 4.8996E-01 3.8995E+00 1.7000E+03 1.5000E+02
4.7983E+01 4.7365E-01 3.9363E+00 1.7000E+03 1.5000E+02
4.9267E+01 4.5735E-01 3.9732E+00 1.7000E+03 1.5000E+02
5.0552E+01 4.4104E-01 4.0100E+00 1.7000E+03 1.5000E+02
5.1837E+01 4.2474E-01 4.0469E+00 1.7000E+03 1.5000E+02
5.3122E+01 4.0843E-01 4.0837E+00 1.7000E+03 1.5000E+02
5.4407E+01 3.9213E-01 4.1206E+00 1.7000E+03 1.5000E+02
5.5691E+01 3.7583E-01 4.1574E+00 1.7000E+03 1.5000E+02
5.6976E+01 3.5952E-01 4.1943E+00 1.7000E+03 1.5000E+02
5.8002E+01 3.5437E-01 4.1851E+00 1.7000E+03 1.5000E+02
5.8855E+01 3.5666E-01 4.1454E+00 1.7000E+03 1.5000E+02
5.9708E+01 3.5895E-01 4.1056E+00 1.7000E+03 1.5000E+02
6.0561E+01 3.6124E-01 4.0659E+00 1.7000E+03 1.5000E+02
6.1414E+01 3.6353E-01 4.0261E+00 1.7000E+03 1.5000E+02
6.2267E+01 3.6582E-01 3.9863E+00 1.7000E+03 1.5000E+02
6.3120E+01 3.6811E-01 3.9466E+00 1.7000E+03 1.5000E+02
6.3973E+01 3.7040E-01 3.9068E+00 1.7000E+03 1.5000E+02
6.4567E+01 3.7527E-01 3.8760E+00 1.7000E+03 1.5000E+02
6.4555E+01 3.8615E-01 3.8660E+00 1.7000E+03 1.5000E+02
6.4544E+01 3.9704E-01 3.8560E+00 1.7000E+03 1.5000E+02
6.4532E+01 4.0792E-01 3.8460E+00 1.7000E+03 1.5000E+02
6.4521E+01 4.1881E-01 3.8360E+00 1.7000E+03 1.5000E+02
6.4510E+01 4.2970E-01 3.8260E+00 1.7000E+03 1.5000E+02
6.4498E+01 4.4058E-01 3.8160E+00 1.7000E+03 1.5000E+02
6.4486E+01 4.6650E-01 3.8199E+00 1.7000E+03 1.5000E+02
6.4519E+01 5.1237E-01 3.9270E+00 1.7000E+03 1.5000E+02
6.4555E+01 5.6199E-01 4.0429E+00 1.7000E+03 1.5000E+02
6.5152E+01 6.3763E-01 4.1182E+00 1.7000E+03 1.5000E+02
6.6185E+01 7.3473E-01 4.1648E+00 1.7000E+03 1.5000E+02
6.7304E+01 8.3977E-01 4.2151E+00 1.7000E+03 1.5000E+02
6.7424E+01 8.5633E-01 4.1172E+00 1.7000E+03 1.5000E+02
6.6980E+01 8.2306E-01 3.9308E+00 1.7000E+03 1.5000E+02
6.6500E+01 7.8708E-01 3.7292E+00 1.7000E+03 1.5000E+02
6.5980E+01 7.4815E-01 3.5110E+00 1.7000E+03 1.5000E+02
6.5418E+01 7.0603E-01 3.2750E+00 1.7000E+03 1.5000E+02
6.4810E+01 6.6047E-01 3.0198E+00 1.7000E+03 1.5000E+02
6.4153E+01 6.1118E-01 2.7436E+00 1.7000E+03 1.5000E+02
6.3441E+01 5.5786E-01 2.4448E+00 1.7000E+03 1.5000E+02
6.2671E+01 5.0018E-01 2.1216E+00 1.7000E+03 1.5000E+02
6.1839E+01 4.3777E-01 1.7720E+00 1.7000E+03 1.5000E+02
6.0938E+01 3.7026E-01 1.3937E+00 1.7000E+03 1.5000E+02
6.0000E+01 2.9993E-01 9.9971E-01 1.7000E+03 1.5000E+02
6.0000E+01 2.9787E-01 9.9147E-01 1.7000E+03 1.5000E+02
